app_text_home,Σπίτι
app_text_error_email_access,Παρέχετε πρόσβαση στο email ή χρησιμοποιήστε έναν άλλο λογαριασμό.
app_text_hi,γεια
app_text_sold_out,Εξαντλημένα
app_text_signup_with_apple,Συνδεθείτε με την Apple
app_text_login_with_apple,Συνδεθείτε με την Apple
app_text_order,Σειρά
app_text_order_date,Ημερομηνία παραγγελίας
app_text_items,Στοιχείο (ες)
app_text_amount,Ποσό
error_voucher_not_available,Το κουπόνι είναι είτε άκυρο που έχει λήξει είτε φθάνει στο όριο χρήσης του!
app_text_review_order,Αναθεώρηση
app_text_payment_methods,μέθοδοι πληρωμής
app_text_review_order,Αναθεώρηση
app_text_payment_methods,μέθοδοι πληρωμής
app_text_guest,Επισκέπτης
app_text_resend_otp,Επαναφορά OTP
app_text_msg_mobile_number,Εισαγάγετε τον αριθμό του κινητού σας
app_text_msg_otp,Ένα OTP έχει στείλει στον αριθμό:
app_text_msg_resend_otp,Ένα OTP έχει τον Ben να αντιμετωπίσει τον αριθμό:
app_text_confirm_new_password,Επιβεβαιώστε τον καινούριο σας κωδικό
app_text_error_facebook_login,Δεν μπορούσα να συνδεθώ με το Facebook
app_text_sub_total,ΜΕΡΙΚΟ ΣΥΝΟΛΟ
app_text_product_total,Συνολικά
app_text_are_you_sure_you_want_to_exit,Είσαι σίγουρος ότι θέλεις να φύγεις?
text_product_updated,Η ποσότητα του προϊόντος ενημερώνεται με επιτυχία !!
error_incorrect_password,Λάθος κωδικός!!
app_text_unit_price,Τιμή μονάδας
app_text_only_mobile,Κινητό
app_text_file_download,Αρχείο με επιτυχία λήψη στις
app_text_video,Συνημμένα βίντεο
app_text_agree_to,Συμφωνώ με τους όρους και τις προϋποθέσεις
app_text_agree_gdpr,Ελέγξτε τους όρους και τις προϋποθέσεις ελέγχου!
app_text_use_current_location,Χρησιμοποιήστε την τρέχουσα τοποθεσία
app_text_adding,Προσθέτωντας…
app_text_removing,Αφαίρεση…
app_text_voucher_adding,Κουπόνι προσθέτοντας ...
app_text_voucher_removing,Κατάργηση κουπονιού ...
app_text_mobile,Κινητό
app_text_deal_ends,Τελειώνει η συμφωνία
app_text_expires_in,Λήγει σε
app_text_register_fingerprint,Εγγραφείτε για σύνδεση δακτυλικών αποτυπωμάτων
app_text_reviews,Ανασκοπήσεις
app_text_loading,Φόρτωση...
app_text_please_wait,Παρακαλώ περιμένετε...
app_text_updating_cart,Ενημέρωση καλάθι ...
app_text_loading_shipping_address,Φόρτωση διεύθυνσης αποστολής ...
app_text_loading_billing_address,Φόρτωση διεύθυνσης χρέωσης ...
app_text_removing_product,Αφαίρεση του προϊόντος ...
app_text_loading_store_data,Φόρτωση δεδομένων αποθήκευσης
app_text_select_country,Επιλέξτε μια χώρα
app_text_select_state,Επιλέξτε μια κατάσταση
app_text_delete_account,Διαγραφή λογαριασμού
app_text_delete_account_msg,Είστε βέβαιοι ότι θέλετε να διαγράψετε λογαριασμό;
app_text_scan_barcode,Γραμμικός κώδικας σάρωσης
app_text_camera_loading,Φόρτωση κάμερας ...
app_text_camera_permission_not_available,Η άδεια κάμερας δεν είναι διαθέσιμη
app_text_search_description,Βρείτε αυτό που ψάχνετε.
